Attributes: 2 , Index: 0 FID: 0.378982 
Attributes: 2 , Index: 1 FID: 0.359948 
Attributes: 2 , Index: 2 FID: 0.029314 
Attributes: 4 , Index: 0 FID: 0.570840 
Attributes: 4 , Index: 1 FID: 1.181815 
Attributes: 4 , Index: 2 FID: 0.654327 
Attributes: 4 , Index: 3 FID: 0.761900 
Attributes: 4 , Index: 4 FID: 0.068801 
Attributes: 8 , Index: 0 FID: 0.900402 
Attributes: 8 , Index: 1 FID: 0.920478 
Attributes: 8 , Index: 2 FID: 1.583302 
Attributes: 8 , Index: 3 FID: 1.591844 
Attributes: 8 , Index: 4 FID: 0.874631 
Attributes: 8 , Index: 5 FID: 1.124739 
Attributes: 8 , Index: 6 FID: 1.058462 
Attributes: 8 , Index: 7 FID: 1.129358 
Attributes: 8 , Index: 8 FID: 0.151934 
Attributes: 16 , Index: 0 FID: 3.719263 
Attributes: 16 , Index: 1 FID: 3.514371 
Attributes: 16 , Index: 2 FID: 4.027056 
Attributes: 16 , Index: 3 FID: 3.404060 
Attributes: 16 , Index: 4 FID: 4.327712 
Attributes: 16 , Index: 5 FID: 5.452363 
Attributes: 16 , Index: 6 FID: 4.053016 
Attributes: 16 , Index: 7 FID: 3.872043 
Attributes: 16 , Index: 8 FID: 3.821806 
Attributes: 16 , Index: 9 FID: 3.061837 
Attributes: 16 , Index: 10 FID: 3.919554 
Attributes: 16 , Index: 11 FID: 2.907549 
Attributes: 16 , Index: 12 FID: 3.877026 
Attributes: 16 , Index: 13 FID: 4.234508 
Attributes: 16 , Index: 14 FID: 3.951136 
Attributes: 16 , Index: 15 FID: 3.918913 
Attributes: 16 , Index: 16 FID: 1.864638 
Attributes: 16 , Index: 0 FID: 2.996108 
Attributes: 16 , Index: 1 FID: 2.631219 
Attributes: 16 , Index: 2 FID: 3.325609 
Attributes: 16 , Index: 3 FID: 2.854710 
Attributes: 16 , Index: 4 FID: 3.518293 
Attributes: 16 , Index: 5 FID: 4.840587 
Attributes: 16 , Index: 6 FID: 3.773162 
Attributes: 16 , Index: 7 FID: 3.689961 
Attributes: 16 , Index: 8 FID: 3.565356 
Attributes: 16 , Index: 9 FID: 2.768148 
Attributes: 16 , Index: 10 FID: 3.572398 
Attributes: 16 , Index: 11 FID: 2.629009 
Attributes: 16 , Index: 12 FID: 3.716946 
Attributes: 16 , Index: 13 FID: 4.045930 
Attributes: 16 , Index: 14 FID: 3.732193 
Attributes: 16 , Index: 15 FID: 3.849069 
Attributes: 16 , Index: 16 FID: 1.864638 
