***********NEW ENTRY******************
Entry type: train['Big_Lips', 'Big_Nose', 'Black_Hair', 'Male']
[0. 0. 0. 0.] 0 count=50175 
[0. 0. 0. 1.] 1 count=25643 
[0. 0. 1. 0.] 2 count=10426 
[0. 0. 1. 1.] 3 count=10330 
[0. 1. 0. 0.] 4 count=3949 
[0. 1. 0. 1.] 5 count=16327 
[0. 1. 1. 0.] 6 count=1412 
[0. 1. 1. 1.] 7 count=5295 
[1. 0. 0. 0.] 8 count=19180 
[1. 0. 0. 1.] 9 count=2055 
[1. 0. 1. 0.] 10 count=5173 
[1. 0. 1. 1.] 11 count=1447 
[1. 1. 0. 0.] 12 count=2421 
[1. 1. 0. 1.] 13 count=4114 
[1. 1. 1. 0.] 14 count=1773 
[1. 1. 1. 1.] 15 count=3050 
Even Labels of TOTAL SAMPLES =22592 
***********NEW ENTRY******************
Entry type: val['Big_Lips', 'Big_Nose', 'Black_Hair', 'Male']
[0. 0. 0. 0.] 0 count=7294 
[0. 0. 0. 1.] 1 count=3177 
[0. 0. 1. 0.] 2 count=1040 
[0. 0. 1. 1.] 3 count=1294 
[0. 1. 0. 0.] 4 count=697 
[0. 1. 0. 1.] 5 count=2314 
[0. 1. 1. 0.] 6 count=116 
[0. 1. 1. 1.] 7 count=891 
[1. 0. 0. 0.] 8 count=1498 
[1. 0. 0. 1.] 9 count=156 
[1. 0. 1. 0.] 10 count=345 
[1. 0. 1. 1.] 11 count=120 
[1. 1. 0. 0.] 12 count=263 
[1. 1. 0. 1.] 13 count=324 
[1. 1. 1. 0.] 14 count=156 
[1. 1. 1. 1.] 15 count=182 
Even Labels of TOTAL SAMPLES =1856 
***********NEW ENTRY******************
Entry type: test['Big_Lips', 'Big_Nose', 'Black_Hair', 'Male']
[0. 0. 0. 0.] 0 count=5466 
[0. 0. 0. 1.] 1 count=2797 
[0. 0. 1. 0.] 2 count=1535 
[0. 0. 1. 1.] 3 count=1382 
[0. 1. 0. 0.] 4 count=335 
[0. 1. 0. 1.] 5 count=1323 
[0. 1. 1. 0.] 6 count=114 
[0. 1. 1. 1.] 7 count=482 
[1. 0. 0. 0.] 8 count=3097 
[1. 0. 0. 1.] 9 count=411 
[1. 0. 1. 0.] 10 count=851 
[1. 0. 1. 1.] 11 count=191 
[1. 1. 0. 0.] 12 count=474 
[1. 1. 0. 1.] 13 count=637 
[1. 1. 1. 0.] 14 count=375 
[1. 1. 1. 1.] 15 count=492 
Even Labels of TOTAL SAMPLES =1824 
