***********NEW ENTRY******************
Entry type: train['Male', 'Black_Hair', 'Bangs', 'Smiling']
[0. 0. 0. 0.] 0 count=29198 
[0. 0. 0. 1.] 1 count=31199 
[0. 0. 1. 0.] 2 count=6148 
[0. 0. 1. 1.] 3 count=9180 
[0. 1. 0. 0.] 4 count=6866 
[0. 1. 0. 1.] 5 count=8349 
[0. 1. 1. 0.] 6 count=1476 
[0. 1. 1. 1.] 7 count=2093 
[1. 0. 0. 0.] 8 count=26416 
[1. 0. 0. 1.] 9 count=17558 
[1. 0. 1. 0.] 10 count=2665 
[1. 0. 1. 1.] 11 count=1500 
[1. 1. 0. 0.] 12 count=10911 
[1. 1. 0. 1.] 13 count=7588 
[1. 1. 1. 0.] 14 count=1010 
[1. 1. 1. 1.] 15 count=613 
Even Labels of TOTAL SAMPLES =9808 
***********NEW ENTRY******************
Entry type: test['Male', 'Black_Hair', 'Bangs', 'Smiling']
[0. 0. 0. 0.] 0 count=3316 
[0. 0. 0. 1.] 1 count=3951 
[0. 0. 1. 0.] 2 count=799 
[0. 0. 1. 1.] 3 count=1306 
[0. 1. 0. 0.] 4 count=1021 
[0. 1. 0. 1.] 5 count=1368 
[0. 1. 1. 0.] 6 count=218 
[0. 1. 1. 1.] 7 count=268 
[1. 0. 0. 0.] 8 count=2922 
[1. 0. 0. 1.] 9 count=1909 
[1. 0. 1. 0.] 10 count=209 
[1. 0. 1. 1.] 11 count=128 
[1. 1. 0. 0.] 12 count=1387 
[1. 1. 0. 1.] 13 count=979 
[1. 1. 1. 0.] 14 count=103 
[1. 1. 1. 1.] 15 count=78 
Even Labels of TOTAL SAMPLES =1248 
***********NEW ENTRY******************
Entry type: val['Male', 'Black_Hair', 'Bangs', 'Smiling']
[0. 0. 0. 0.] 0 count=3667 
[0. 0. 0. 1.] 1 count=4090 
[0. 0. 1. 0.] 2 count=828 
[0. 0. 1. 1.] 3 count=1167 
[0. 1. 0. 0.] 4 count=629 
[0. 1. 0. 1.] 5 count=752 
[0. 1. 1. 0.] 6 count=128 
[0. 1. 1. 1.] 7 count=148 
[1. 0. 0. 0.] 8 count=3239 
[1. 0. 0. 1.] 9 count=2260 
[1. 0. 1. 0.] 10 count=309 
[1. 0. 1. 1.] 11 count=163 
[1. 1. 0. 0.] 12 count=1358 
[1. 1. 0. 1.] 13 count=957 
[1. 1. 1. 0.] 14 count=107 
[1. 1. 1. 1.] 15 count=65 
Even Labels of TOTAL SAMPLES =1040 
